Iteration	Aorta_E	Valve_E	AorticAnnulus_E	AortomitralCurtain_E	LeftVentricular_E	Cost
1	944550.5746	6110851.627	32377940.275785	5539533.707	25391979.686368	3.773712
2	4838518.056	7433231.991	23465973.509531	8745020.137	43576795.407276	3.869653
3	2543492.842	2824580.513	12486973.775657	4557002.968	15046479.071290	3.22328
4	6379797.937	5903530.474	20531907.753666	8032738.957	28792987.149558	3.696509
5	7878907.737	5717794.309	26394888.193938	6148910.255	14640539.690104	3.745696
6	3034786.242	2520409.603	17583058.989547	7121442.974	25786356.105349	3.150539
8	3256463.749	6146094.526	17651926.335205	6410138.846	38699683.232173	3.712867
9	1845124.361	4391309.83	15520097.542620	6941553.215	11342179.081700	3.495573
10	285674.2006	1101969.117	18763722.111896	5295241.582	35216104.936201	2.621183
11	2542117.412	1088819.283	10221434.184363	9855960.553	100000	2.481455
12	3773355.949	3665660.675	22209627.506096	5359764.989	22089216.609769	3.414928
13	6471266.542	5653711.899	22450002.439396	5277684.186	20229629.113301	3.67353
14	7272050.669	8089328.285	22568923.041028	7639879.81	43934138.704120	3.907393
15	4725847.605	2797353.233	19709926.210089	4578433.703	20230117.362328	3.240674
16	2623169.673	585721.1357	17928674.986491	8509266.438	39690322.565495	2.009415
17	100000	100000	9136227.203	10000000.000000	35364808.704711	1.851459
18	5728144.987	2897060.89	20622420.547289	7160382.032	14679716.461007	3.266512
19	607047.6262	1649281.522	14285981.363819	10000000.000000	24213932.098120	2.911769
20	3162660.334	282881.7653	23922456.539240	8258397.816	35118496.791231	1.600997
21	100000	357065.4006	27647041.308128	2815295.997	29742366.308290	2.037038
22	1778296.936	100000	32567744.794289	8249920.502	29898060.788905	1.55927
23	3484042.491	100000	19111916.241173	3859596.337	23760148.133205	1.478328
24	4558600.593	489928.2876	10282219.299190	7926401.938	41953919.844384	1.838703
25	3389321.332	1290561.94	21961298.422346	8683773.119	3991046.324	2.703121
26	3636452.47	100000	14729595.300929	9359424.632	37658880.482197	1.507347
27	991767.312	1572980.808	6771483.669	7479985.053	27124151.674398	2.800492
28	5480103.864	3263326.923	16438566.611356	6723653.47	30424667.916612	3.321288
29	6109967.376	2607222.395	17015121.141980	5674132.058	21098950.329080	3.168534
30	100000	100000	6438924.808	5174173.456	38439770.490256	1000000
31	1563023.432	1680723.499	26204885.390621	4858767.647	39523796.468586	2.946343
32	1732711.422	100000	19246519.781878	9218372.275	21613380.903109	1.542598
33	2562733.008	1829012.381	18544294.175000	5981749.336	24530319.940854	2.962295
34	3697787.78	100000	23896180.048562	10000000.000000	49478500.245486	1000000
35	787538.2492	100000	16354462.584150	9772320.631	35336858.761866	1.554868
36	3188363.062	2495135.516	23547409.415643	6993355.711	35882747.942903	3.161665
37	5243310.019	1738747.402	13951460.625372	10000000.000000	25027702.395465	2.898671
38	3078503.539	852859.5792	15155450.750530	10000000.000000	28028622.398905	2.311992
39	790986.2453	100000	10594074.231078	10000000.000000	11757308.569375	1.447352
40	1813565.06	100000	14282017.269009	5140066.947	30121753.539264	1.428067
41	100000	1840125.952	11370078.611303	9734880.544	13579672.154753	3.033925
42	2184025.367	100000	17419809.078139	6222092.375	33354161.257503	1.491381
43	168346.4986	1304744.852	16492039.601622	6475619.593	31839742.015058	2.782375
